abbo,700
abo,750
abortion,400
abuse,350
addict,400
addicts,400
adult,200
africa,200
african,200
alla,500
alligatorbait,600
amateur,200
american,200
anal,900
analannie,900
analsex,900
anus,700
arab,400
arabs,400
areola,700
argie,700
aroused,700
arse,800
arsehole,800
asian,300
ass,8
assassin,3
assassinate,4
assassination,4
assault,4
assbagger,9
assblaster,9
assclown,9
asscowboy,9
asses,8
assfuck,9
assfucker,9
asshat,9
asshole,9
assholes,9
asshore,9
assjockey,9
asskiss,8
asskisser,8
assklown,8
asslick,9
asslicker,9
asslover,9
assman,9
assmonkey,9
assmunch,9
assmuncher,9
asspacker,9
asspirate,9
asspuppies,9
assranger,9
asswhore,9
asswipe,9
athletesfoot,5
attack,2
australian,2
babe,3
babies,1
backdoor,4
backdoorman,4
backseat,2
badfuck,9
balllicker,9
balls,5
ballsack,9
banging,9
baptist,3
barelylegal,5
barf,7
barface,7
barfface,8
bastard,9
beaner,9
beast,2
beastality,4
beastial,4
beastiality,4
beatoff,8
beat-off,8
beatyourmeat,8
beaver,8
bi,7
biatch,8
bicurious,8
bigass,8
bigbastard,8
bigbutt,8
bisexual,8
bi-sexual,8
bitch,8
bitcher,8
bitches,8
bitchez,8
bitchin,8
bitching,8
bitchslap,8
bitchy,8
biteme,8
black,8
blackman,8
blacks,8
blind,4
blow,9
blowjob,9
boang,9
bollick,8
bollock,8
bondage,9
boner,9
bong,9
boob,9
boobies,9
boobs,9
booby,9
booty,9
bootycall,9
bra,7
brea5t,8
breast,8
breastjob,9
breastlover,9
breastman,9
brothel,9
bugger,8
buggered,8
buggery,8
bullcrap,8
bulldike,8
bulldyke,8
bullshit,8
bumblefuck,9
bumfuck,9
butchbabes,9
butchdike,9
butchdyke,9
butt,8
buttbang,9
butt-bang,9
buttface,9
buttfuck,9
butt-fuck,9
buttfucker,9
butt-fucker,9
buttfuckers,9
butt-fuckers,9
butthead,8
buttman,8
buttmunch,9
buttmuncher,9
buttpirate,9
buttplug,9
buttstain,9
canadian,3
cancer,2
carpetmuncher,4
chav,7
cherrypopper,9
chickslick,9
chinaman,8
chinamen,9
chinese,4
chink,8
chinky,8
cigarette,7
cigs,7
clamdigger,9
clamdiver,9
clit,9
clitoris,9
clogwog,8
cocaine,8
cock,9
cockblock,9
cockblocker,9
cockcowboy,9
cockfight,9
cockhead,9
cockknob,9
cocklicker,9
cocklover,9
cocknob,9
cockqueen,9
cockrider,9
cocksman,9
cocksmith,9
cocksmoker,9
cocksucer,9
cocksuck,9
cocksucked,9
cocksucker,9
cocksucking,9
cocktail,9
cocktease,9
cocky,4
cohee,9
coitus,9
colored,4
coloured,4
commie,9
communist,9
condom,7
conservative,5
